orbital_period,transit_duration,transit_depth,planet_radius,radius_ratio,stellar_teff,stellar_radius,stellar_mass,insolation_flux,teq,label,mission
8.98581901,2.8606,881.3,1.65,0.026527,4072.0,0.57,0.586,15.9,509.0,CONFIRMED,Kepler
12.940668656,2.4845,42450.0,22.94,0.259639,5875.0,0.809,0.895,64.64,723.0,CANDIDATE,Kepler
20.5452375,2.517,218.5,2.41,0.017424,5670.0,1.264,0.937,71.57,742.0,FALSE POSITIVE,Kepler
33.60123371,4.4056,7425.9,8.46,0.083298,5149.0,0.93,0.882,14.22,495.0,CONFIRMED,Kepler
6.76652928,2.9004,450.7,1.97,0.019382,5149.0,0.93,0.882,120.48,845.0,CONFIRMED,Kepler
4.347288783,2.1024,451.6,2.36,0.019273,5754.0,1.122,1.014,449.79,1174.0,CONFIRMED,Kepler
4.601811819,2.2607,755.9,2.35,0.02579,4986.0,0.833,0.793,152.91,896.0,CONFIRMED,Kepler
11.18719905,3.252,353.6,1.55,0.017042,4986.0,0.833,0.793,46.65,667.0,CONFIRMED,Kepler
4.220965778,3.0854,2260.0,2.62,0.046401,3837.0,0.517,0.544,29.68,595.0,CONFIRMED,Kepler
6.998099523,2.0488,20285.0,588.66,6.502574,5612.0,0.829,0.926,125.22,853.0,FALSE POSITIVE,Kepler
5.95489993,2.3892,1410.7,2.33,0.033728,4261.0,0.633,0.64,38.52,635.0,CONFIRMED,Kepler
12.03987488,2.7363,1250.6,2.18,0.031605,4261.0,0.633,0.64,15.06,502.0,CONFIRMED,Kepler
20.83762895,2.3734,439.0,1.42,0.020532,4261.0,0.633,0.64,7.24,418.0,CONFIRMED,Kepler
8.8111022,5.0683,401.1,63.66,0.242511,6200.0,2.404,1.333,904.92,1399.0,FALSE POSITIVE,Kepler
23.58917143,5.073,1200.7,3.16,0.040151,4919.0,0.721,0.697,13.34,487.0,CONFIRMED,Kepler
6.481633073,3.784,298.5,2.54,0.017836,5945.0,1.302,1.009,406.25,1145.0,CONFIRMED,Kepler
10.37168928,3.035,1254.9,3.2,0.033023,5121.0,0.888,0.822,63.68,720.0,CONFIRMED,Kepler
3.96996298,1.1757,299.2,1.78,0.018305,5121.0,0.888,0.822,229.37,992.0,CONFIRMED,Kepler
4.40841331,5.012,549.4,2.66,0.025379,6007.0,0.961,0.968,398.0,1139.0,CONFIRMED,Kepler
7.9426176,6.703,1590.7,4.68,0.046289,5811.0,0.926,1.036,140.57,878.0,FALSE POSITIVE,Kepler
226.8904775,7.558,3136.4,4.53,0.055361,5067.0,0.75,0.789,0.73,236.0,CONFIRMED,Kepler
1.956811408,2.1958,24905.0,21.58,0.327759,5209.0,0.603,0.602,357.16,1109.0,FALSE POSITIVE,Kepler
2.688899233,2.11275,37492.0,12.04,0.172543,4820.0,0.639,0.699,175.76,929.0,CANDIDATE,Kepler
9.439459486,2.8979,3036.1,4.16,0.048953,5097.0,0.779,0.891,52.32,686.0,CONFIRMED,Kepler
11.523067458,3.8757,507.3,3.13,0.020288,5644.0,1.411,1.053,174.81,927.0,CONFIRMED,Kepler
20.47748843,2.8364,1382.4,2.92,0.034376,5097.0,0.779,0.891,18.65,530.0,CONFIRMED,Kepler
3.336123113,1.9616,516.3,1.74,0.020396,5097.0,0.779,0.891,209.79,970.0,CONFIRMED,Kepler
8.01078456,2.312,1333.6,1.72,0.03347,3713.0,0.47,0.484,9.9,453.0,CONFIRMED,Kepler
12.07134205,4.3224,759.2,1.29,0.025158,3713.0,0.47,0.484,5.74,395.0,CONFIRMED,Kepler
20.99587872,2.6333,767.3,1.3,0.025412,3713.0,0.47,0.484,2.74,328.0,CONFIRMED,Kepler
7.41113177,2.5242,620.5,2.45,0.024438,5849.0,0.919,1.014,158.11,905.0,CONFIRMED,Kepler
1.000747038,0.9967,1823.5,4.14,0.047993,5472.0,0.79,0.718,1635.2,1620.0,FALSE POSITIVE,Kepler
8.884922995,2.07004,16053.0,10.51,0.114124,5332.0,0.843,0.821,83.21,770.0,CONFIRMED,Kepler
8.09888906,4.20241,6911.1,8.95,0.076211,6214.0,1.076,1.169,223.19,986.0,CONFIRMED,Kepler
